Sentence,Categories
"""IT support engineer providing technical support and troubleshooting for IT systems.""","""work experience"", ""it support"", ""technical support"", ""troubleshooting"", ""information technology"""
"""IT risk management analyst assessing and mitigating risks associated with IT projects and operations.""","""work experience"", ""risk analysis"", ""risk management"", ""information technology"", ""it operations"""
"""Shopify developer creating e-commerce websites and optimizing Shopify platform functionality.""","""work experience"", ""e-commerce"", ""software development"""
"""React Native developer building cross-platform mobile applications using React Native framework.""","""work experience"", ""react native"", ""react"", ""mobile"", ""software development"""
"""IT infrastructure architect designing and implementing scalable and resilient IT infrastructures.""","""work experience"", ""information technology"", ""infrastructure"", ""architecture"""
"""Java Spring developer creating scalable and high-performance Java applications.""","""work experience"", ""java"", ""software development"""
"""Data scientist holding a Master's degree in Data Science with expertise in machine learning algorithms.""","""work experience"", ""data science"", ""machine learning"", ""education"", ""degree"", ""algorithms"""
"""Systems analyst with a Bachelor's degree in Information Systems and hands-on experience in system design.""","""work experience"", ""systems analysis"", ""design"", ""education"", ""degree"", ""information systems"""
"""Network administrator with a degree in Network Engineering and expertise in configuring routers and switches.""","""work experience"", ""network administration"", ""education"", ""degree"", ""network"""
"""Software architect with a Master's degree in Software Engineering and a focus on designing scalable systems.""","""work experience"", ""architecture"", ""education"", ""degree"", ""software development"""
"""Database administrator with a degree in Database Management and expertise in SQL and database optimization.""","""work experience"", ""sql"", ""database"", ""education"", ""degree"""
"""IT project manager with an MBA and a specialization in IT Management, leading successful project implementations.""","""work experience"", ""project management"", ""mba"", ""education"", ""degree"", ""information technology"", ""leadership"""
"""DevOps engineer holding a degree in Systems Engineering and experience in automating deployment processes.""","""work experience"", ""devops"", ""automation"", ""education"", ""degree"", ""deployment"""
"""Security analyst with a Bachelor's degree in Cybersecurity and expertise in threat detection and mitigation.""","""work experience"", ""education"", ""degree"", ""cybersecurity"""
"""Web developer with a degree in Web Development and proficiency in HTML, CSS, and JavaScript.""","""work experience"", ""web development"", ""html"", ""css"", ""javascript"", ""education"", ""degree"", ""web development"", ""software development"""
"""Artificial intelligence researcher with a Ph.D. in Computer Science and a focus on advanced AI algorithms.""","""work experience"", ""ai"", ""research"", ""algorithms"", ""education"", ""degree"", ""computer science"""
"""Cloud solutions architect with a Master's degree in Cloud Computing and experience in designing scalable cloud infrastructures.""","""work experience"", ""cloud"", ""architecture"", ""infrastructure"", ""education"", ""degree"""
"""Front-end developer with a degree in Computer Engineering and expertise in React and Vue.js.""","""work experience"", ""front-end"", ""react"", ""vue"", ""education"", ""degree"", ""computer engineering"", ""software development"""
"""IT consultant with an MBA and a focus on providing strategic technology solutions for businesses.""","""work experience"", ""consulting"", ""it solutions"", ""mba"", ""education"", ""degree"", ""information technology"""
"""iOS app developer proficient in Swift programming language, creating cutting-edge applications for Apple devices.""","""work experience"", ""ios"", ""swift"", ""mobile"", ""software development"", ""apple"""
"""Swift developer with expertise in building cross-platform applications for iOS, macOS, watchOS, and tvOS.""","""work experience"", ""ios"", ""swift"", ""mobile"", ""software development"", ""apple"""
"""Passionate about Swift programming and its application in developing scalable and efficient software solutions.""","""skills"", ""ios"", ""swift"", ""mobile"", ""software development"""
"""Mobile app developer with a degree in Mobile App Development and proficiency in Swift and Kotlin.""","""work experience"", ""mobile"", ""swift"", ""kotlin"", ""education"", ""degree"", ""software development"""
"""IT support specialist with a degree in Information Technology and experience in troubleshooting hardware and software issues.""","""work experience"", ""it support"", ""technical support"", ""troubleshooting"", ""education"", ""degree"", ""information technology"""
"""Data engineer with a Bachelor's degree in Data Engineering and expertise in ETL processes.""","""work experience"", ""data analytics"", ""education"", ""degree"""
"""UI/UX architect with a degree in Human-Computer Interaction and a focus on designing user-centric interfaces.""","""work experience"", ""education"", ""degree"", ""ui/ux design"""
"""Quality assurance analyst with a degree in Software Quality Assurance and expertise in automated testing.""","""work experience"", ""quality assurance"", ""automated testing"", ""education"", ""degree"", ""testing"""
"""Machine learning engineer with a Master's degree in Machine Learning and experience in developing ML models.""","""work experience"", ""machine learning"", ""education"", ""degree"", ""machine learning"""
"""IT business analyst with an MBA and a focus on aligning IT solutions with business goals.""","""work experience"", ""business analysis"", ""it solutions"", ""mba"", ""education"", ""degree"", ""information technology"""
"""Front-end designer with a degree in Digital Design and expertise in creating visually appealing user interfaces.""","""work experience"", ""front-end"", ""design"", ""digital"", ""education"", ""degree"", ""user interface"""
"""Big data engineer with a degree in Big Data Technologies and experience in processing large datasets.""","""work experience"", ""big data"", ""education"", ""degree"", ""data processing"""
"""IT auditor with a degree in Information Systems Audit and expertise in assessing IT security.""","""work experience"", ""auditing"", ""cybersecurity"", ""education"", ""degree"", ""information systems"", ""information technology"""
"""Developed virtual reality applications for immersive user experiences.""","""work experience"", ""virtual reality"", ""ar/vr"", ""software development"""
"""Collaborated on an augmented reality project using ARKit for iOS applications.""","""work experience"", ""augmented reality"", ""ios"", ""ar/vr"", ""software development"""
"Integrated virtual reality features into mobile applications for enhanced user engagement.""","""work experience"", ""virtual reality"", ""mobile"", ""ar/vr"", ""software development"""
"""Designed and implemented interactive augmented reality experiences for educational purposes.""","""work experience"", ""augmented reality"", ""education"", ""ar/vr"", ""software development"", ""design"""
"""Developed a virtual reality application for employee skill enhancement.""","""work experience"", ""virtual reality"", ""ar/vr"", ""software development"""
"""Collaborated with cross-functional teams to implement augmented reality solutions for client projects.""","""work experience"", ""augmented reality"", ""ar/vr"", ""software development"""
"""AR/VR developer with a Bachelor's degree in Augmented Reality and Virtual Reality Development.""","""work experience"", ""ar/vr"", ""augmented reality"", ""virtual reality"", ""education"", ""degree"", ""software development"""
"""Blockchain developer with a degree in Blockchain Technology and experience in smart contract development.""","""work experience"", ""blockchain"", ""education"", ""degree"", ""software development"""
"""Software localization specialist with a degree in Software Localization and proficiency in multiple languages.""","""work experience"", ""software development"", ""skills"", ""education"", ""degree"""
"""IT risk analyst with a degree in IT Risk Management and expertise in identifying and mitigating IT risks.""","""work experience"", ""risk analysis"", ""risk management"", ""education"", ""degree"", ""information technology"""
"""IT compliance officer with a degree in IT Compliance and experience in ensuring adherence to regulatory standards.""","""work experience"", ""auditing"", ""education"", ""degree"", ""information technology"""
"""IT communications manager with an MBA and a focus on effective communication of IT initiatives.""","""work experience"", ""information technology"", ""communication"", ""mba"", ""education"", ""degree"""
"""Talent acquisition manager focused on recruitment strategies, employee engagement, and organizational growth.""","""work experience"", ""recruitment"", ""talent acquisition"""
"""HR consultant specializing in talent acquisition, workforce planning, and creating employee development programs.""","""work experience"", ""human resources"", ""talent acquisition"", ""consulting"""
"""Recruitment coordinator experienced in managing end-to-end hiring processes, conducting interviews, and onboarding new employees.""","""work experience"", ""recruitment"""
"""Human resources director overseeing talent acquisition, employee relations, and the development of HR policies and procedures.""","""work experience"", ""human resources"", ""talent acquisition"""
"""Recruitment specialist with a focus on diversity and inclusion initiatives to build a well-rounded and inclusive workforce.""","""work experience"", ""recruitment"""
"""IT recruitment specialist with a degree in IT Recruitment and experience in talent acquisition.""","""work experience"", ""recruitment"", ""talent acquisition"", ""education"", ""degree"", ""information technology"""
"""IT business intelligence analyst with a degree in Business Intelligence and expertise in data analytics.""","""work experience"", ""business intelligence"", ""business analysis"", ""data analytics"", ""education"", ""degree"", ""information technology"""
"""IT product manager with an MBA and a focus on product development and lifecycle management.""","""work experience"", ""project management"", ""mba"", ""education"", ""degree"", ""information technology"""
"""IT solutions architect with a Master's degree in IT Architecture and experience in designing comprehensive IT solutions.""","""work experience"", ""it solutions"", ""architecture"", ""education"", ""degree"", ""information technology"""
"""Bachelor's degree in Computer Science with a specialization in software engineering.""","""education"", ""degree"", ""computer science"", ""software development"""
"""Master's degree in Information Technology with a focus on cybersecurity.""","""education"", ""degree"", ""information technology"", ""cybersecurity"""
"""Completed a certification in Full-Stack Web Development from Coding Bootcamp XYZ.""","""education"", ""certification"", ""full-stack"", ""web development"", ""software development"""
"""Ph.D. in Artificial Intelligence with a research focus on natural language processing.""","""education"", ""degree"", ""ai"", ""research"", ""natural language processing"""
"""Bachelor of Science in Software Engineering with honors.""","""education"", ""degree"", ""software development"""
"""Scrum master facilitating Agile development processes and ensuring effective team collaboration.""","""work experience"", ""scrum"", ""agile methodologies"", ""project management"""
"""Certified Scrum Master skilled in leading Agile development teams and ensuring adherence to Scrum principles.""","""work experience"", ""scrum"", ""agile methodologies"", ""project management"", ""leadership"""
"""Software engineer experienced in Scrum methodologies, emphasizing continuous improvement and efficiency.""","""work experience"", ""scrum"", ""software development"""
"""Agile project manager leading cross-functional teams to deliver high-quality software solutions.""","""work experience"", ""agile methodologies"", ""project management"", ""leadership"""
"""Certified Scrum Master with expertise in agile methodologies.""","""work experience"", ""education"", ""certification"", ""scrum"", ""agile methodologies"""
"""Attended workshops on Cloud Computing and received a Cloud Architect Certification.""","""education"", ""workshops"", ""certification"", ""cloud"", ""architecture"""
"""Master's degree in Computer Engineering with a concentration in network security.""","""education"", ""degree"", ""computer engineering"", ""network"", ""cybersecurity"""
"""Bachelor of Technology in Information Systems Management.""","""education"", ""degree"", ""information systems"""
"""Certification in Python Programming from XYZ Institute.""","""education"", ""certification"", ""python"", ""software development"""
"""Bachelor's degree in Computer Engineering with a minor in Data Science.""","""education"", ""degree"", ""computer engineering"", ""data science"""
"""Master's degree in Software Development and Project Management.""","""education"", ""degree"", ""software development"", ""project management"""
"""Completed a specialized course in DevOps practices and automation.""","""education"", ""course"", ""devops"", ""automation"""
"""Bachelor of Science in Information Systems with a focus on database management.""","""education"", ""degree"", ""information systems"", ""database"""
"""Certification in Java Programming from a recognized coding academy.""","""education"", ""certification"", ""java"", ""software development"""
"""Master's degree in Computer Science with a thesis on machine learning algorithms.""","""education"", ""degree"", ""computer science"", ""machine learning"", ""algorithms"""
"""Bachelor's degree in Information Technology with a specialization in software development.""","""education"", ""degree"", ""information technology"", ""software development"""
"""Certified AWS Solutions Architect with hands-on experience in cloud infrastructure.""","""work experience"", ""education"", ""certification"", ""cloud"", ""infrastructure"", ""architecture"""
"""Attended a course on Mobile App Development and received a Mobile Developer Certification.""","""education"", ""course"", ""certification"", ""mobile"", ""software development"""
"""Bachelor of Technology in Computer Science and Engineering with honors.""","""education"", ""degree"", ""computer science"", ""computer engineering"""
"""Master's degree in Cybersecurity and Digital Forensics.""","""education"", ""degree"", ""cybersecurity"", ""digital"""
"""Certification in Front-End Web Development with proficiency in HTML, CSS, and JavaScript.""","""education"", ""certification"", ""front-end"", ""web development"", ""html"", ""css"", ""javascript"", ""software development"""
"""Bachelor's degree in Software Engineering with a focus on cloud-based solutions.""","""education"", ""degree"", ""software development"", ""cloud"""
"""Completed a course on Big Data Analytics and earned a Big Data Specialist Certification.""","""education"", ""course"", ""certification"", ""big data"""
"""Ph.D. in Computer Vision with research contributions in image recognition.""","""education"", ""degree"", ""computer vision"", ""image recognition"""
"""Bachelor of Science in Computer Information Systems with a concentration in cybersecurity.""","""education"", ""degree"", ""information systems"", ""cybersecurity"""
"""Certification in Ruby on Rails Development from a recognized coding school.""","""education"", ""certification"", ""ruby on rails"", ""software development"""
"""Master's degree in Software Engineering with a focus on scalable and distributed systems.""","""education"", ""degree"", ""software development"""
"""Bachelor's degree in Data Science with a specialization in predictive analytics.""","""education"", ""degree"", ""data science"", ""data analytics"""
"""Certified Microsoft Azure Developer with expertise in cloud-based application development.""","""work experience"", ""education"", ""certification"", ""microsoft"", ""azure"", ""cloud"", ""software development"""
"""Attended a workshop on Blockchain Technology and received a Blockchain Developer Certification.""","""education"", ""workshops"", ""certification"", ""blockchain"", ""software development"""
"""Master's degree in Information Systems Management with a focus on IT strategy.""","""education"", ""degree"", ""information systems"", ""information technology"""
"""Bachelor of Technology in Mobile Computing with honors.""","""education"", ""degree"", ""mobile"""
"""Certification in Kotlin Programming from a reputable online learning platform.""","""education"", ""certification"", ""kotlin"", ""software development"""
"""Bachelor's degree in Computer Science and Engineering with a minor in Artificial Intelligence.""","""education"", ""degree"", ""computer science"", ""ai"", ""computer engineering"""
"""Master's degree in Software Architecture with a thesis on microservices design.""","""education"", ""degree"", ""software"", ""architecture"""
"""Certified Cybersecurity Analyst with hands-on experience in threat detection and response.""","""work experience"", ""education"", ""certification"", ""cybersecurity"""
"""Completed a course on React Native App Development and earned a Mobile App Developer Certification.""","""education"", ""course"", ""certification"", ""react native"", ""mobile"", ""react"", ""software development"""
"""Ph.D. in Quantum Computing with research contributions in quantum algorithms.""","""education"", ""degree"", ""algorithms"", ""research"""
"""Bachelor of Science in Information Security with a focus on ethical hacking.""","""education"", ""degree"", ""cybersecurity"""
"""Certification in Swift Programming for iOS App Development from a recognized coding academy.""","""education"", ""certification"", ""swift"", ""ios"", ""software development"""
"""Master's degree in Computer Networks and Security.""","""education"", ""degree"", ""network"", ""cybersecurity"""
"""Attended a workshop on Docker and Kubernetes for container orchestration.""","""education"", ""workshops"", ""docker"", ""kubernetes"""
"""Bachelor's degree in Software Development with honors.""","""education"", ""degree"", ""software development"""
"""Certified Data Scientist with proficiency in machine learning algorithms and data analysis.""","""work experience"", ""education"", ""certification"", ""data science"", ""machine learning"", ""data analytics"", ""algorithms"""
"""Bachelor of Technology in Cloud Computing with a specialization in virtualization.""","""education"", ""degree"", ""cloud"""
"""Certification in PHP Web Development from a reputable online learning platform.""","""education"", ""certification"", ""php"", ""web development"", ""software development"""
"""Attended a course on Artificial Neural Networks and earned a Neural Network Specialist Certification.""","""education"", ""course"", ""certification"", ""machine learning"""
"""Ph.D. in Software Engineering with research contributions in software architecture patterns.""","""education"", ""degree"", ""software development"", ""architecture"""
"""Bachelor of Science in Computer Information Technology with a focus on network administration.""","""education"", ""degree"", ""information technology"", ""network administration"""
"""Certified Java Developer with expertise in Java EE and Spring Framework.""","""work experience"", ""education"", ""certification"", ""java"", ""software development"""
"""Master's degree in Data Analytics with a thesis on predictive modeling.""","""education"", ""degree"", ""data analytics"", ""predictive modeling"""
"""Bachelor's degree in Mobile App Development with a minor in UX/UI Design.""","""education"", ""degree"", ""mobile"", ""ui/ux design"", ""software development"""
"""Certification in SQL Database Administration from a recognized coding school.""","""education"", ""certification"", ""sql"", ""database"""
"""Attended a workshop on AngularJS and received an Angular Developer Certification.""","""education"", ""workshops"", ""certification"", ""angular"", ""software development"""
"""Implemented autonomous navigation algorithms for robotic systems.""","""work experience"", ""robotics"", ""autonomous systems"""
"""Developed software for controlling robotic arms in industrial automation.""","""work experience"", ""robotics"", ""autonomous systems"", ""software development"""
"""Collaborated on a project involving the integration of AI with robotic systems.""","""work experience"", ""robotics"", ""ai"", ""integration"""
"""Computer vision engineer specializing in image recognition, object detection, and developing vision-based applications.""","""work experience"", ""image recognition"", ""computer vision"", ""machine learning"""
"""Researcher in computer vision, contributing to advancements in visual perception, deep learning, and real-time image processing.""","""work experience"", ""research"", ""image recognition"", ""computer vision"", ""machine learning"", ""data processing"""
"""Robotics engineer specializing in computer vision and machine learning for autonomous systems.""","""work experience"", ""robotics"", ""computer vision"", ""machine learning"", ""autonomous systems"""
"""Master's degree in Robotics with a focus on autonomous systems.""","""education"", ""degree"", ""robotics"", ""autonomous systems"""
"""Bachelor of Technology in Information Security with honors.""","""education"", ""degree"", ""cybersecurity"""
"""Certified UX/UI Designer with proficiency in wireframing and prototyping tools.""","""work experience"", ""education"", ""certification"", ""ui/ux design"""
"""Completed a course on Natural Language Processing and earned an NLP Specialist Certification.""","""education"", ""course"", ""certification"", ""natural language processing"""
"""Ph.D. in Computer Graphics with research contributions in virtual reality environments.""","""education"", ""degree"", ""virtual reality"", ""ar/vr"""
"""Certification in Ruby on Rails Web Development from a reputable online learning platform.""","""education"", ""certification"", ""ruby on rails"", ""web development"""
"""Attended a course on Cloud Security and received a Cloud Security Specialist Certification.""","""education"", ""course"", ""certification"", ""cloud"", ""cybersecurity"""
"""Master's degree in Software Quality Assurance with a thesis on test automation.""","""education"", ""degree"", ""quality assurance"", ""automated testing"", ""testing"""
"""Bachelor's degree in Computer Science with a minor in Business Intelligence.""","""education"", ""degree"", ""computer science"", ""business intelligence"""
"""Experienced Flask developer creating RESTful APIs for seamless communication between different systems.""","""work experience"", ""flask"", ""api"", ""web development"", ""software development"""
"""Developed and maintained web applications using Flask, ensuring high performance and reliability.""","""work experience"", ""flask"", ""web development"", ""software development"""
"""Implemented Flask-based solutions for handling data processing tasks and managing large datasets efficiently.""","""work experience"", ""flask"", ""data processing"", ""big data"", ""software development"""
"""Certified Python Developer with proficiency in Django and Flask frameworks.""","""work experience"", ""education"", ""certification"", ""python"", ""django"", ""flask"", ""software development"""
"""Attended a workshop on Cyber Threat Intelligence and received a CTI Analyst Certification.""","""education"", ""workshops"", ""certification"", ""cybersecurity"""
"""Ph.D. in Computer Networks with research contributions in network optimization.""","""education"", ""degree"", ""network"""
"""Bachelor of Technology in Web Design and Development with honors.""","""education"", ""degree"", ""design"", ""web development"", ""software development"""
"""Experienced Dart developer specializing in building cross-platform mobile applications.""","""work experience"", ""dart"", ""mobile"", ""software development"""
"""Contributed to open-source Dart projects, enhancing code quality and functionality.""","""work experience"", ""dart"", ""software development"""
"""Flutter developer creating cross-platform mobile applications with a focus on UI/UX design.""","""work experience"", ""flutter"", ""software development"", ""user interface"", ""ui/ux design"", ""mobile"""
"""Experienced in using Flutter to build engaging and responsive mobile interfaces for various projects.""","""work experience"", ""flutter"", ""software development"", ""user interface"", ""design"", ""mobile"""
"""Flutter app developer specializing in creating interactive and visually appealing mobile applications.""","""work experience"", ""flutter"", ""software development"", ""user interface"", ""design"", ""mobile"""
"""Full-stack developer proficient in both Flutter and Node.js for building versatile and efficient applications.""","""work experience"", ""full-stack"", ""flutter"", ""javascript"", ""node.js"", ""software development"""
"""Implemented responsive user interfaces using Dart and Flutter for enhanced user experiences.""","""work experience"", ""dart"", ""flutter"", ""software development"", ""user interface"""
"""Utilized Dart programming language for server-side development in web applications.""","""work experience"", ""dart"", ""web development"", ""server-side"", ""software development"""
"""In-depth knowledge of Dart language features, including asynchronous programming and libraries.""","""skills"", ""dart"", ""software development"""
"""GraphQL specialist with expertise in designing and optimizing API queries for efficient data retrieval.""","""work experience"", ""graphql"", ""api"""
"""Developed scalable and flexible applications by leveraging the power of GraphQL for efficient data fetching.""","""work experience"", ""graphql"", ""software development"""
"""Integrated GraphQL into existing systems, improving data management and enhancing overall system performance.""","""work experience"", ""graphql"", ""integration"", ""software development"""
"""Provided GraphQL training to development teams, ensuring a smooth transition to this modern data query language.""","""work experience"", ""graphql"""
"""Utilized GraphQL subscriptions to implement real-time updates and enhance user experience in web applications.""","""work experience"", ""graphql"", ""web development"", ""software development"""
"""Attended a course on Docker and Kubernetes for containerized application deployment.""","""education"", ""course"", ""docker"", ""kubernetes"", ""deployment"""
"""JavaScript""","""programming language"", ""front-end"", ""software development"""
"""Python""","""programming language"", ""data science"", ""machine learning"""
"""Java""","""programming language"", ""software development"""
"""React.js""","""javascript"", ""library"", ""front-end"", ""software development"""
"""Node.js""","""javascript"", ""back-end"", ""software development"""
"""Django""","""python"", ""framework"", ""web development"", ""software development"""
"""Angular""","""javascript"", ""framework"", ""front-end"", ""software development"""
"""Ruby""","""programming language"", ""web development"", ""software development"""
"""Ruby on Rails""","""ruby"", ""framework"", ""web development"", ""software development"""
"""C#""","""programming language"", ""software development"""
"""ASP.NET""","""framework"", ""web development"", ""software development"""
"""Swift""","""programming language"", ""ios"", ""software development"""
"""Kotlin""","""programming language"", ""android"", ""mobile"", ""software development"""
"""Vue.js""","""javascript"", ""framework"", ""front-end"", ""software development"""
"""PHP""","""programming language"", ""web development"", ""software development"""
"""Laravel""","""framework"", ""web development"", ""software development"""
"""Go""","""programming language"", ""software development"""
"""Rust""","""programming language"", ""software development"""
"""TypeScript""","""programming language"", ""front-end"", ""software development"""
"""Spring Boot""","""java"", ""framework"", ""back-end"", ""software development"""
"""Express.js""","""javascript"", ""framework"", ""back-end"", ""software development"""
"""RubyMotion""","""ruby"", ""framework"", ""mobile"", ""software development"""
"""Scala""","""programming language"", ""software development"""
"""Flutter""","""dart"", ""framework"", ""mobile"", ""software development"""
"""Dart""","""programming language"", ""web development"", ""software development"""
"""jQuery""","""javascript"", ""library"", ""front-end"", ""software development"""
"""Flask""","""python"", ""framework"", ""web development"", ""software development"""
"""Android SDK""","""mobile development kit"", ""mobile"", ""android"", ""software development"""
"""iOS SDK""","""mobile development kit"", ""ios"", ""software development"""
"""HTML""","""programming language"", ""web development"", ""software development"""
"""CSS""","""programming language"", ""web development"", ""software development"""
"""Sass""","""css"", ""preprocessor"", ""web development"", ""software development"""
"""LESS""","""css"", ""preprocessor"", ""web development"", ""software development"""
"""Bootstrap""","""css"", ""framework"", ""front-end"", ""software development"""
"""Materialize""","""css"", ""framework"", ""front-end"", ""software development"""
"""TensorFlow""","""machine learning"", ""library"", ""data science"""
"""PyTorch""","""machine learning"", ""library"", ""data science"""
"""Scikit-learn""","""machine learning"", ""library"", ""data science"""
"""Pandas""","""python"", ""library"", ""data science"""
"""NumPy""","""python"", ""library"", ""data science"""
"""RubyMine""","""integrated development environment"", ""ruby"", ""software development"""
"""Visual Studio Code""","""integrated development environment"""
"""Eclipse""","""integrated development environment"""
"""IntelliJ IDEA""","""integrated development environment"""
"""Atom""","""text editor"""
"""Sublime Text""","""text editor"""
"""Git""","""version control"""
"""GitHub""","""version control"""
"""Bitbucket""","""version control"""
"""Docker""","""platform"", ""devops"""
"""Kubernetes""","""platform"", ""devops"""
"""Jenkins""","""integration"", ""deployment"", ""devops"""
"""Ansible""","""automation"", ""devops"""
"""Chef""","""automation"", ""devops"""
"""Terraform""","""infrastructure"", ""tool"", ""devops"""
"""Redux""","""javascript"", ""library"", ""front-end"", ""software development"""
"""GraphQL""","""programming language"", ""api"", ""software development"""
"""RESTful""","""api"", ""software development"""
"""Firebase""","""back-end"", ""web development"", ""software development"""
"""Cassandra""","""nosql"", ""database"""
"""MongoDB""","""nosql"", ""database"""
"""MySQL""","""relational database"", ""database"""
"""PostgreSQL""","""relational database"", ""database"""
"""Redis""","""database"""
"""Elasticsearch""","""database"""
"""Apollo Client""","""graphql"", ""front-end"", ""software development"""
"""RxJS""","""javascript"", ""library"", ""software development"""
"""Jest""","""javascript"", ""framework"", ""testing"", ""quality assurance"""
"""JUnit""","""java"", ""framework"", ""testing"", ""quality assurance"""
"""Cypress""","""framework"", ""testing"", ""quality assurance"""
"""Selenium""","""automated testing"", ""testing"", ""quality assurance"""
"""Jira""","""project management"", ""tool"""
"""Confluence""","""collaboration"", ""tool"""
"""Slack""","""collaboration"", ""tool"""
"""Trello""","""project management"", ""tool"""
"""Asana""","""project management"", ""tool"""
"""Splunk""","""data analytics"", ""monitoring"", ""tool"""
"""Tableau""","""data visualization"", ""tool"""
"""Power BI""","""business intelligence"", ""tool"""
"""Adobe Photoshop""","""software"""
"""Adobe Illustrator""","""vector graphics editor"""
"""Sketch""","""vector graphics editor"""
"""Figma""","""collaboration"", ""ui/ux design"", ""tool"""
"""Zeplin""","""collaboration"", ""tool"", ""ui/ux design"""
"""GitLab""","""version control"""
"""Apache Kafka""","""platform"", ""data processing"""
"""Amazon Web Services (AWS)""","""cloud"", ""platform"""
"""Microsoft Azure""","""cloud"", ""platform"", ""azure"", ""microsoft"""
"""Google Cloud Platform (GCP)""","""cloud"", ""platform"""
"""Heroku""","""cloud"""
"""Nginx""","""web server"", ""web development"""
"""Apache HTTP Server""","""web server"", ""web development"""
"""Microsoft IIS""","""web server"", ""web development"", ""microsoft"""
"""NGINX""","""web server"", ""web development"""
"""Fluentd""","""log management"", ""data processing"""
"""RabbitMQ""","""messaging"", ""data processing"""
"""ZeroMQ""","""messaging"", ""library"", ""data processing"""
"""Prometheus""","""monitoring"", ""tool"", ""devops"""
"""Grafana""","""data analytics"", ""monitoring"", ""platform"", ""devops"""
"""ELK Stack (Elasticsearch, Logstash, Kibana)""","""log management"", ""devops"""
"""Zabbix""","""monitoring"", ""software"", ""devops"""
"""Wireshark""","""network protocol analyzer"", ""networking"""
"""Postman""","""api"", ""testing"""
"""Wireshark""","""network protocol analyzer"", ""networking"""